feature,coefficient
LightGBM,0.39418507918535717
base_mean,0.17957387101089078
base_max,0.16137010841620178
base_min,0.14640890099846032
XGBoost,0.09704734568311706
CatBoost,0.04748918817136219
base_std,0.01679791526224754
