remote_label,n,rmse,mae,r2,bias,median_actual,median_pred
Remote,4704,29057.759775609884,20075.212810603007,0.679673541762344,-2591.289198552708,112500.00000000004,110775.83688221796
Non-remote / unknown,30575,24441.924459247584,15290.929244663686,0.7632236079736447,-2671.466793673283,77500.00000000006,79538.75156448096
