method,coverage_pct,avg_width,median_width,winkler_score
Residual Quantile,90.14427846594292,78241.0737004218,78285.83953547668,118757.98108869437
Quantile Regression,90.14144391847842,70773.04564247771,74979.14073302352,99855.62991316698
Conformal,89.40729612517362,73252.18640627885,73465.72083046037,121861.19884156414
