formatted_experience_level,n,rmse,mae,r2,bias,median_actual,median_pred
Executive,1081,36881.134070756685,24954.806957744076,0.746058843211528,-6388.2139791528125,115900.00000000003,114062.18780237914
Director,1297,35494.34757539937,26771.898732294037,0.5316517379434683,-1657.2429036087997,165000.00000000015,163663.39029142712
Mid-Senior level,19518,26804.51877815177,17660.35563366556,0.7024603781251788,-2754.20000405301,98229.99999999993,98851.29084702037
Associate,3793,22665.6248579903,14480.542701047107,0.6284983455557354,-2376.2650101465147,74880.0,75037.08877942534
Entry level,9225,18275.10457178093,10545.4488839994,0.7328087121559863,-2449.6321530320906,52259.99999999997,53686.81427394387
Internship,365,14830.733264345414,9187.337155374022,0.5314860107290154,1515.307466316837,48879.99999999999,50751.30387122811
