pay_period,n,rmse,mae,r2,bias,median_actual,median_pred
YEARLY,19917,28522.49750121843,19182.10745900867,0.6858629508352814,-2664.873821830743,102500.00000000009,102657.98185138908
MONTHLY,506,24768.93959424995,14737.743388230218,0.564395013904017,-2912.0189242504557,55073.999999999956,57755.148493606655
WEEKLY,177,21885.069183567295,15185.474458255452,-0.053541423836119595,-996.6012142787422,109148.00000000003,112575.43771844798
HOURLY,14676,19600.84833854664,11564.371765019463,0.7565893365530884,-2664.4363864772326,52322.40000000001,53462.253835936375
