salary_band,n,rmse,mae,r2,bias,median_actual,median_pred
$200k+,1387,71768.27519467645,56195.195284650836,-6.169404436496598,-52685.24030658885,226499.99999999985,184641.43163700085
$160k–200k,2526,40685.71875193058,31968.32259588284,-11.289170796822729,-24868.38527172443,175549.99999999985,153664.33153622935
$130k–160k,4020,28000.130592757585,21510.07969131596,-8.759523211778564,-11745.306182682449,142449.40000000002,132344.1935515397
$100k–130k,5698,21435.098217594434,16469.589490351544,-5.213768695201181,-2496.0080392784826,112540.99999999997,110181.67715018828
$75k–100k,6028,18349.641818355667,13658.806997331365,-5.325379588760529,3546.3169723166043,84999.99999999996,88161.84173278931
$50k–75k,7641,15619.546727983769,10966.533175340604,-3.7273120847490704,5368.987625241486,61526.40000000001,64719.788576665094
<$50k,7979,12509.562535228197,7120.495567345998,-2.536913205672291,5145.907933783636,40019.2,42472.15969873115
