iter	RMSE
396	0.3308478201
397	0.3308029482
398	0.3307542265
399	0.3307096931
400	0.3306233173
401	0.3305768663
402	0.330530094
403	0.3304635638
404	0.3304198562
405	0.3303898694
406	0.3303564006
407	0.330323091
408	0.330250516
409	0.3301940079
410	0.330089497
411	0.3300257756
412	0.3299994964
413	0.3299092486
414	0.3298788691
415	0.3298401364
416	0.3297900158
417	0.329732842
418	0.3296899667
419	0.3296753822
420	0.3296250447
421	0.3295851664
422	0.3295072376
423	0.3294510419
424	0.3294063674
425	0.3293449656
426	0.3292670541
427	0.3292018424
428	0.3291705678
429	0.329102283
430	0.329032055
431	0.3288993012
432	0.3288693866
433	0.3288282982
434	0.3287969263
435	0.3287158424
436	0.3286638326
437	0.3286431935
438	0.3286068022
439	0.3285614377
440	0.3285204699
441	0.3284625466
442	0.3284083198
443	0.3283743929
444	0.3282828609
445	0.3282359586
446	0.3281882346
447	0.3281485789
448	0.328098519
449	0.3280418621
450	0.3280238773
451	0.3279773256
452	0.3279372695
453	0.3279161031
454	0.327888626
455	0.3278438958
456	0.327792122
457	0.3277319673
458	0.3276680167
459	0.3276085424
460	0.3275653865
461	0.3275199618
462	0.3275162075
463	0.3274711261
464	0.327426605
465	0.327325211
466	0.327303519
467	0.3272445229
468	0.3272048722
469	0.3271678014
470	0.3271232236
471	0.3271041994
472	0.3270718011
473	0.3270380131
474	0.3270019615
475	0.3269050836
476	0.3268881953
477	0.3268225129
478	0.3267543533
479	0.3267413724
480	0.3266775578
481	0.3266325404
482	0.326560233
483	0.3264879434
484	0.3264634226
485	0.3264106173
486	0.3263240154
487	0.326265037
488	0.3262044849
489	0.326156479
490	0.3261099362
491	0.32607755
492	0.3260410149
493	0.3260345471
494	0.3259744765
495	0.3259523352
496	0.3259147379
497	0.3258924454
498	0.32584967
499	0.3258076796
500	0.3257390453
501	0.3256952911
502	0.3256418859
503	0.3255791544
504	0.3255361419
505	0.3254740542
506	0.3254123382
507	0.3253934572
508	0.325331807
509	0.3252783467
510	0.325241084
511	0.3251724548
512	0.3250884641
513	0.3250656588
514	0.3250253576
515	0.3249717224
516	0.3249475187
517	0.3249156863
518	0.3248696058
519	0.3248225939
520	0.3247681106
521	0.3247234125
522	0.3246898908
523	0.3246524193
524	0.324606829
525	0.3245700831
526	0.3244949
527	0.3244183508
528	0.3243687858
529	0.3243544599
530	0.3242617404
531	0.3242477912
532	0.3241937235
533	0.3241538481
534	0.3241256976
535	0.3240504035
536	0.3239916186
537	0.3239617336
538	0.3238975931
539	0.3238598486
540	0.3238051371
541	0.3237512515
542	0.3237210838
543	0.3237069437
544	0.3236415158
545	0.323609744
546	0.3235907806
547	0.323549295
548	0.3235110869
549	0.3234711401
550	0.3234367169
551	0.3233835518
552	0.3233522302
553	0.3232851796
554	0.3232832674
555	0.3232270704
556	0.3231793833
557	0.3231393789
558	0.3231074258
559	0.3230699834
560	0.3230285974
561	0.3229719154
562	0.322923771
563	0.3229055928
564	0.3228599641
565	0.3228048279
566	0.3227620329
567	0.3226930474
568	0.3226134932
569	0.3225823491
570	0.3225240892
571	0.3224810128
572	0.3224448586
573	0.3224138177
574	0.3223847721
575	0.3223414345
576	0.3223253081
577	0.3222729867
578	0.322236645
579	0.3222107922
580	0.3221692616
581	0.3221224282
582	0.3220818431
583	0.3220382762
584	0.3219971262
585	0.3219684138
586	0.3219232418
587	0.3219124468
588	0.3218799336
589	0.3218444121
590	0.3218249283
591	0.3217958423
592	0.3217599683
593	0.3217234912
594	0.3216591252
595	0.3216114451
596	0.3215670098
597	0.321524231
598	0.3214792437
599	0.3214224195
600	0.3213944099
601	0.3213491288
602	0.3213234629
603	0.3212831678
604	0.3212473991
605	0.3212205156
606	0.3211809162
607	0.321160658
608	0.3211171897
609	0.3210851799
610	0.3210556231
611	0.3210282424
612	0.3209763572
613	0.3209392705
614	0.3208999442
615	0.3208768108
616	0.3208308399
617	0.320799306
618	0.3207810276
619	0.3207504126
620	0.320727492
621	0.3206992919
622	0.3206822672
623	0.3206237627
624	0.3206086509
625	0.3205762828
626	0.3205557898
627	0.3205270351
628	0.3205128968
629	0.3204508735
630	0.320406973
631	0.3203919821
632	0.3203485182
633	0.3203390023
634	0.3202896243
635	0.320269011
636	0.3202274481
637	0.3201878352
638	0.3201758982
639	0.3201051175
640	0.3200672141
641	0.3200476545
642	0.3200154648
643	0.3199964375
644	0.3199640857
645	0.3199006495
646	0.3198594967
647	0.3198014722
648	0.3197630141
649	0.319746248
650	0.3197026343
651	0.319692534
652	0.3196484889
653	0.3195944595
654	0.31954545
655	0.319521934
656	0.3195116159
657	0.3194610899
658	0.3194207013
659	0.3193903024
660	0.3193585014
661	0.3193317728
662	0.3192937371
663	0.3192897917
664	0.3192624893
665	0.3192143549
666	0.3191713226
667	0.3191412947
668	0.3191019397
669	0.3190484905
670	0.3189968449
671	0.3189554774
672	0.3189239203
673	0.3188783428
674	0.3188452345
675	0.3188427377
676	0.3188262592
677	0.3187782106
678	0.318747634
679	0.3187381903
680	0.3187010534
681	0.3186513448
682	0.318633574
683	0.3186208694
684	0.3186093533
685	0.31851556
686	0.3184175962
687	0.3183714179
688	0.3183411533
689	0.3183117328
690	0.3182894202
691	0.3182688248
692	0.3182490566
693	0.3182406441
694	0.3182172404
695	0.3181867828
696	0.3181851136
697	0.3181655584
698	0.3181250666
699	0.3180968386
700	0.3180328359
701	0.3180051156
702	0.3180013748
703	0.3179964036
704	0.3179462361
705	0.3179303373
706	0.3178882601
707	0.3178521574
708	0.3177793001
709	0.3177480444
710	0.3177240981
711	0.3176825987
712	0.3176434465
713	0.3176012531
714	0.3175662087
715	0.3175156547
716	0.3174823502
717	0.317472847
718	0.3174300524
719	0.3174140888
720	0.317369873
721	0.3173480431
722	0.3173224372
723	0.3172940715
724	0.3172255798
725	0.3171825476
726	0.3171633232
727	0.3171489239
728	0.3171201179
729	0.3171105854
730	0.3170723271
731	0.3170533485
732	0.3169778053
733	0.3169462637
734	0.3169157636
735	0.3168756012
736	0.3168385084
737	0.3168054512
738	0.3167676361
739	0.3167416104
740	0.3167096307
741	0.3166548162
742	0.3166411749
743	0.3165930254
744	0.3165716367
745	0.3165576125
746	0.3164921253
747	0.3164521032
748	0.3164047549
749	0.3163626573
750	0.3163440383
751	0.3163278584
752	0.3162662413
753	0.3162512584
754	0.3162216955
755	0.3161853034
756	0.3161596632
757	0.3161190066
758	0.3161063202
759	0.3160691855
760	0.3160264804
761	0.3160053191
762	0.3159763947
763	0.3159547461
764	0.3159267319
765	0.3158993638
766	0.3158686131
767	0.3158332898
768	0.3157635137
769	0.3157276939
770	0.3156936991
771	0.3156714524
772	0.3156309149
773	0.3155983227
774	0.3155671921
775	0.3154876629
776	0.3154627764
777	0.3154176132
778	0.3153958177
779	0.315350904
780	0.3152903792
781	0.3152500495
782	0.3152182633
783	0.3151825156
784	0.3151703445
785	0.3151506708
786	0.3151341316
787	0.3150962287
788	0.3150725267
789	0.3150136629
790	0.3149660126
791	0.3149337027
792	0.3149105717
793	0.3148695796
794	0.3148318048
795	0.3148250872
796	0.3148073278
797	0.3147984151
798	0.3147696047
799	0.3147423077
